mode,cores,rx_mpps,tx_mpps,rx_pkts,tx_pkts,tx_drops,selection_drop_pct,selection_rounds,total_cycles_per_pkt,rx_cycles_per_pkt,parse_cycles_per_pkt,rewrite_cycles_per_pkt,checksum_cycles_per_pkt,tx_cycles_per_pkt,other_cycles_per_pkt,queues_seen,sample_lines,log_path
offload,1,23.123,23.123,23123008,23123008,0,0.000,3,83.400,24.400,1.600,8.100,15.200,10.900,23.200,0;0;0,16;17;14,results/raw/checksum_mode_new_burst/offload/server_1c.log
preserve,1,23.184,23.184,23183804,23183804,0,0.000,3,79.100,30.000,1.600,8.300,1.800,7.700,29.600,0;0;0,16;17;15,results/raw/checksum_mode_new_burst/preserve/server_1c.log
software,1,23.147,23.147,23146880,23146880,0,0.000,3,86.000,24.200,1.700,8.100,29.300,7.800,14.900,0;0;0,14;16;15,results/raw/checksum_mode_new_burst/software/server_1c.log
offload,2,43.284,43.284,43283900,43283900,0,0.000,3,91.750,29.050,1.850,10.100,14.150,11.300,25.300,1|0;1|0;1|0,16|17;18|19;20|21,results/raw/checksum_mode_new_burst/offload/server_2c.log
preserve,2,43.791,43.791,43790996,43790996,0,0.000,3,87.250,35.250,1.900,10.250,1.600,8.400,29.800,1|0;1|0;1|0,18|19;20|21;16|17,results/raw/checksum_mode_new_burst/preserve/server_2c.log
software,2,43.059,43.059,43059166,43059166,0,0.000,3,93.550,25.850,1.750,9.950,29.800,9.000,17.150,1|0;1|0;1|0,20|21;16|17;18|19,results/raw/checksum_mode_new_burst/software/server_2c.log
offload,4,86.168,86.168,86168844,86168844,0,0.000,3,94.262,24.731,2.362,9.687,11.675,12.238,33.600,1|2|3|0;1|2|3|0;1|2|3|0,26|27|28|29;30|31|32|33;34|35|36|37,results/raw/checksum_mode_new_burst/offload/server_4c.log
preserve,4,85.705,85.705,85705340,85705340,0,0.000,3,93.625,34.125,2.900,11.700,1.900,10.550,32.400,1|2|3|0;1|2|3|0;1|2|3|0,38|39|40|41;34|35|36|37;30|31|32|33,results/raw/checksum_mode_new_burst/preserve/server_4c.log
software,4,85.864,85.864,85865820,85865820,0,0.000,3,96.025,21.425,2.275,10.400,30.650,10.400,20.875,1|2|3|0;1|2|3|0;1|2|3|0,34|35|36|37;30|31|32|33;26|27|28|29,results/raw/checksum_mode_new_burst/software/server_4c.log
offload,6,115.926,115.926,115925136,115925136,0,0.000,3,107.010,25.500,5.782,18.419,16.551,12.532,28.232,1|2|3|4|5|0;1|2|3|4|5|0;1|2|3|4|5|0,36|37|38|39|40|41;42|43|44|45|46|47;30|31|32|33|34|35,results/raw/checksum_mode_new_burst/offload/server_6c.log
preserve,6,115.926,115.926,115926302,115926302,0,0.000,3,106.817,32.016,8.781,24.141,1.894,19.302,20.736,1|2|3|4|5|0;1|2|3|4|5|0;1|2|3|4|5|0,36|37|38|39|40|41;48|49|50|51|52|53;42|43|44|45|46|47,results/raw/checksum_mode_new_burst/preserve/server_6c.log
software,6,115.926,115.926,115926528,115926528,0,0.000,3,107.138,22.280,4.242,16.311,32.768,10.969,20.539,1|2|3|4|5|0;1|2|3|4|5|0;1|2|3|4|5|0,42|43|44|45|46|47;30|31|32|33|34|35;36|37|38|39|40|41,results/raw/checksum_mode_new_burst/software/server_6c.log
offload,8,115.928,115.928,115926480,115926480,0,0.000,3,143.363,30.375,12.038,30.387,30.463,12.800,27.262,1|2|3|4|5|6|7|0;1|2|3|4|5|6|0|7;1|2|3|4|5|6|0|7,38|39|40|41|42|43|44|45;54|55|56|57|58|59|60|61;46|47|48|49|50|51|52|53,results/raw/checksum_mode_new_burst/offload/server_8c.log
preserve,8,115.928,115.928,115926610,115926610,0,0.000,3,143.087,37.075,14.587,35.125,2.012,33.737,20.587,1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0,30|31|32|33|34|35|36|37;46|47|48|49|50|51|52|53;38|39|40|41|42|43|44|45,results/raw/checksum_mode_new_burst/preserve/server_8c.log
software,8,115.926,115.926,115925702,115925702,0,0.000,3,143.325,28.787,10.625,29.438,43.238,11.150,20.000,1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0,38|39|40|41|42|43|44|45;46|47|48|49|50|51|52|53;54|55|56|57|58|59|60|61,results/raw/checksum_mode_new_burst/software/server_8c.log
