mode,cores,rx_mpps,tx_mpps,rx_pkts,tx_pkts,tx_drops,selection_drop_pct,selection_rounds,total_cycles_per_pkt,rx_cycles_per_pkt,parse_cycles_per_pkt,rewrite_cycles_per_pkt,checksum_cycles_per_pkt,tx_cycles_per_pkt,other_cycles_per_pkt,queues_seen,sample_lines,log_path
offload,1,47.768,47.768,47768320,47768320,0,0.000,3,43.700,4.700,2.200,6.900,16.000,10.300,3.600,0;0;0,10;11;12,results/raw/checksum_modes_fast_client/offload/server_1c.log
preserve,1,81.748,81.748,81748416,81748416,0,0.000,3,25.500,5.200,2.100,7.100,2.000,6.700,2.300,0;0;0,12;10;11,results/raw/checksum_modes_fast_client/preserve/server_1c.log
software,1,37.263,37.263,37263232,37263232,0,0.000,3,56.100,5.100,1.900,10.800,29.200,6.500,2.500,0;0;0,9;10;12,results/raw/checksum_modes_fast_client/software/server_1c.log
offload,2,87.723,87.723,87722368,87722368,0,0.000,3,47.647,5.999,2.498,7.950,17.100,10.600,3.499,1|0;1|0;1|0,20|21;16|17;18|19,results/raw/checksum_modes_fast_client/offload/server_2c.log
preserve,2,115.922,115.922,115921980,115921980,0,0.000,3,35.800,12.350,1.950,8.550,2.050,7.450,3.450,1|0;1|0;1|0,14|15;18|19;16|17,results/raw/checksum_modes_fast_client/preserve/server_2c.log
software,2,73.798,73.798,73798784,73798784,0,0.000,3,56.665,6.544,2.197,9.721,29.200,6.703,2.249,1|0;1|0;1|0,18|19;16|17;20|21,results/raw/checksum_modes_fast_client/software/server_2c.log
offload,4,115.924,115.924,115924100,115924100,0,0.000,3,71.500,19.050,2.175,10.125,15.100,11.350,13.700,1|2|3|0;1|2|3|0;1|2|3|0,30|31|32|33;26|27|28|29;34|35|36|37,results/raw/checksum_modes_fast_client/offload/server_4c.log
preserve,4,115.925,115.925,115925512,115925512,0,0.000,3,67.425,28.225,1.975,9.950,1.675,8.525,17.100,1|2|3|0;1|2|3|0;1|2|3|0,42|43|44|45;34|35|36|37;30|31|32|33,results/raw/checksum_modes_fast_client/preserve/server_4c.log
software,4,115.923,115.923,115923508,115923508,0,0.000,3,71.900,14.775,1.975,10.175,29.800,7.925,7.175,1|2|3|0;1|2|3|0;1|2|3|0,34|35|36|37;22|23|24|25;30|31|32|33,results/raw/checksum_modes_fast_client/software/server_4c.log
offload,6,115.927,115.927,115925416,115925416,0,0.000,3,107.068,24.904,5.699,19.081,16.661,12.482,28.240,1|2|3|4|5|0;1|2|3|4|5|0;1|2|3|4|5|0,36|37|38|39|40|41;48|49|50|51|52|53;42|43|44|45|46|47,results/raw/checksum_modes_fast_client/offload/server_6c.log
preserve,6,115.927,115.927,115926396,115926396,0,0.000,3,106.950,31.228,8.867,24.476,1.883,20.004,20.474,1|2|3|4|5|0;1|2|3|4|5|0;1|2|3|4|5|0,42|43|44|45|46|47;30|31|32|33|34|35;36|37|38|39|40|41,results/raw/checksum_modes_fast_client/preserve/server_6c.log
software,6,115.926,115.926,115925484,115925484,0,0.000,3,107.143,21.987,4.322,16.298,32.943,11.031,20.579,1|2|3|4|5|0;1|2|3|4|5|0;1|2|3|4|5|0,42|43|44|45|46|47;48|49|50|51|52|53;36|37|38|39|40|41,results/raw/checksum_modes_fast_client/software/server_6c.log
offload,8,115.925,115.925,115925692,115925692,0,0.000,3,143.325,30.812,11.963,30.188,30.088,12.788,27.487,1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0,30|31|32|33|34|35|36|37;54|55|56|57|58|59|60|61;38|39|40|41|42|43|44|45,results/raw/checksum_modes_fast_client/offload/server_8c.log
preserve,8,115.926,115.926,115925968,115925968,0,0.000,3,142.345,43.421,14.147,32.718,2.011,29.177,20.893,1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0,62|63|64|65|66|67|68|69;54|55|56|57|58|59|60|61;46|47|48|49|50|51|52|53,results/raw/checksum_modes_fast_client/preserve/server_8c.log
software,8,115.926,115.926,115926424,115926424,0,0.000,3,143.112,30.225,10.300,28.325,42.400,11.362,20.525,1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0,70|71|72|73|74|75|76|77;54|55|56|57|58|59|60|61;62|63|64|65|66|67|68|69,results/raw/checksum_modes_fast_client/software/server_8c.log
