mode,cores,rx_mpps,tx_mpps,rx_pkts,tx_pkts,tx_drops,selection_drop_pct,selection_rounds,total_cycles_per_pkt,rx_cycles_per_pkt,parse_cycles_per_pkt,rewrite_cycles_per_pkt,checksum_cycles_per_pkt,tx_cycles_per_pkt,other_cycles_per_pkt,queues_seen,sample_lines,log_path
offload,1,25.329,25.329,25329392,25329392,0,0.000,3,79.600,24.200,1.700,9.300,14.000,11.000,19.300,0;0;0,13;14;12,results/raw/checksum_modes/offload/server_1c.log
preserve,1,26.189,26.189,26189332,26189307,60,0.000,3,73.800,29.400,1.700,9.800,1.700,8.400,22.900,0;0;0,14;13;15,results/raw/checksum_modes/preserve/server_1c.log
software,1,24.040,24.040,24039568,24039568,0,0.000,3,85.100,21.100,1.700,10.100,30.000,8.900,13.300,0;0;0,16;14;15,results/raw/checksum_modes/software/server_1c.log
offload,2,46.663,46.663,46662504,46662503,1,0.000,3,88.099,26.949,2.150,10.400,13.351,12.749,22.501,1|0;1|0;1|0,18|19;16|17;14|15,results/raw/checksum_modes/offload/server_2c.log
preserve,2,44.297,44.297,44297144,44297140,4,0.000,3,89.450,37.450,2.250,10.200,1.600,10.050,27.950,1|0;1|0;1|0,18|19;16|17;20|21,results/raw/checksum_modes/preserve/server_2c.log
software,2,45.207,45.207,45206432,45206432,0,0.000,3,91.399,23.800,2.050,10.400,30.400,10.450,14.150,1|0;1|0;1|0,16|17;14|15;18|19,results/raw/checksum_modes/software/server_2c.log
offload,4,93.038,93.038,93038900,93038748,96,0.000,3,88.050,27.275,2.275,10.650,12.175,12.700,23.000,1|2|3|0;1|2|3|0;1|2|3|0,26|27|28|29;30|31|32|33;34|35|36|37,results/raw/checksum_modes/offload/server_4c.log
preserve,4,88.185,88.184,88184610,88184038,572,0.001,1,92.775,30.625,3.375,13.400,2.000,13.400,30.075,1|2|3|0,22|23|24|25,results/raw/checksum_modes/preserve/server_4c.log
software,4,91.001,91.001,91000422,91000422,0,0.000,3,91.021,19.145,2.175,10.575,30.726,10.750,17.700,1|2|3|0;1|2|3|0;1|2|3|0,34|35|36|37;30|31|32|33;26|27|28|29,results/raw/checksum_modes/software/server_4c.log
offload,6,109.181,109.179,109181160,109179232,1928,0.002,3,113.186,27.173,6.189,19.177,16.295,12.962,31.416,1|2|3|4|5|0;1|2|3|4|5|0;1|2|3|4|5|0,30|31|32|33|34|35;36|37|38|39|40|41;42|43|44|45|46|47,results/raw/checksum_modes/offload/server_6c.log
preserve,6,105.037,105.024,105036316,105022356,13960,0.013,3,116.680,34.279,8.842,23.463,1.953,21.378,26.797,1|2|3|4|5|0;1|2|3|4|5|0;1|2|3|4|5|0,24|25|26|27|28|29;36|37|38|39|40|41;30|31|32|33|34|35,results/raw/checksum_modes/preserve/server_6c.log
software,6,104.593,104.593,104593200,104592948,252,0.000,3,118.279,24.938,5.060,15.713,35.431,11.548,25.589,1|2|3|4|5|0;1|2|3|4|5|0;1|2|3|4|5|0,36|37|38|39|40|41;30|31|32|33|34|35;42|43|44|45|46|47,results/raw/checksum_modes/software/server_6c.log
offload,8,109.827,109.827,109826890,109825910,980,0.001,1,150.187,42.940,11.049,27.961,24.124,12.725,31.413,1|2|3|4|5|6|7|0,38|39|40|41|42|43|44|45,results/raw/checksum_modes/offload/server_8c.log
preserve,8,106.643,106.640,106642896,106640146,2680,0.003,3,154.212,39.913,16.163,33.899,2.000,36.087,26.225,1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0,30|31|32|33|34|35|36|37;38|39|40|41|42|43|44|45;62|63|64|65|66|67|68|69,results/raw/checksum_modes/preserve/server_8c.log
software,8,109.836,109.834,109833760,109833284,476,0.000,3,147.798,41.728,7.621,23.185,34.931,10.932,29.316,1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0,62|63|64|65|66|67|68|69;38|39|40|41|42|43|44|45;54|55|56|57|58|59|60|61,results/raw/checksum_modes/software/server_8c.log
