mode,cores,rx_mpps,tx_mpps,rx_pkts,tx_pkts,tx_drops,selection_drop_pct,selection_rounds,total_cycles_per_pkt,rx_cycles_per_pkt,parse_cycles_per_pkt,rewrite_cycles_per_pkt,checksum_cycles_per_pkt,tx_cycles_per_pkt,other_cycles_per_pkt,queues_seen,sample_lines,log_path
offload,1,43.335,43.335,43334848,43334848,0,0.000,3,48.200,4.900,2.000,6.700,16.200,14.100,4.100,0;0;0,12;11;13,results/raw/checksum_modes_txbuf_fast_client/offload/server_1c.log
preserve,1,70.853,70.853,70853376,70853376,0,0.000,3,29.400,5.000,2.300,6.900,1.500,10.900,2.800,0;0;0,11;10;13,results/raw/checksum_modes_txbuf_fast_client/preserve/server_1c.log
software,1,34.534,34.534,34533632,34533632,0,0.000,3,60.600,5.300,2.000,7.400,32.000,10.800,3.100,0;0;0,10;11;13,results/raw/checksum_modes_txbuf_fast_client/software/server_1c.log
offload,2,81.943,81.943,81942464,81942464,0,0.000,3,50.990,6.349,2.349,6.801,16.800,14.694,3.900,1|0;1|0;1|0,20|21;22|23;18|19,results/raw/checksum_modes_txbuf_fast_client/offload/server_2c.log
preserve,2,115.924,115.924,115923462,115923462,0,0.000,3,36.000,10.300,1.750,7.350,1.450,11.350,3.850,1|0;1|0;1|0,18|19;22|23;20|21,results/raw/checksum_modes_txbuf_fast_client/preserve/server_2c.log
software,2,67.943,67.943,67943040,67943040,0,0.000,3,61.590,6.549,2.148,7.197,31.299,11.550,2.849,1|0;1|0;1|0,22|23;28|29;26|27,results/raw/checksum_modes_txbuf_fast_client/software/server_2c.log
offload,4,115.925,115.925,115925282,115925282,0,0.000,3,71.875,14.350,1.875,10.050,15.725,15.550,13.800,1|2|3|0;1|2|3|0;1|2|3|0,22|23|24|25;30|31|32|33;26|27|28|29,results/raw/checksum_modes_txbuf_fast_client/offload/server_4c.log
preserve,4,115.924,115.924,115924200,115924200,0,0.000,3,71.275,23.300,2.100,10.525,1.500,10.475,23.350,1|2|3|0;1|2|3|0;1|2|3|0,34|35|36|37;30|31|32|33;26|27|28|29,results/raw/checksum_modes_txbuf_fast_client/preserve/server_4c.log
software,4,113.209,113.209,113207612,113207612,0,0.000,3,73.742,11.182,2.095,8.822,31.794,13.424,6.413,1|2|0|3;1|2|3|0;1|2|0|3,30|31|32|33;26|27|28|29;34|35|36|37,results/raw/checksum_modes_txbuf_fast_client/software/server_4c.log
offload,6,115.926,115.926,115925428,115925428,0,0.000,3,106.364,26.300,2.783,8.900,11.033,14.083,43.264,1|2|3|4|5|0;1|2|3|4|5|0;1|2|3|4|5|0,48|49|50|51|52|53;54|55|56|57|58|59;36|37|38|39|40|41,results/raw/checksum_modes_txbuf_fast_client/offload/server_6c.log
preserve,6,115.926,115.926,115925350,115925350,0,0.000,3,105.099,31.045,3.081,7.448,2.646,11.560,49.337,1|2|3|4|5|0;1|2|3|4|5|0;1|2|3|4|5|0,30|31|32|33|34|35;42|43|44|45|46|47;48|49|50|51|52|53,results/raw/checksum_modes_txbuf_fast_client/preserve/server_6c.log
software,6,115.925,115.925,115924848,115924848,0,0.000,3,106.916,21.117,2.483,9.667,32.900,12.849,27.917,1|2|3|4|5|0;1|2|3|4|5|0;1|2|3|4|5|0,54|55|56|57|58|59;36|37|38|39|40|41;48|49|50|51|52|53,results/raw/checksum_modes_txbuf_fast_client/software/server_6c.log
offload,8,115.927,115.927,115925850,115925850,0,0.000,3,139.262,32.800,3.400,6.012,8.975,16.288,71.787,1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0,62|63|64|65|66|67|68|69;54|55|56|57|58|59|60|61;46|47|48|49|50|51|52|53,results/raw/checksum_modes_txbuf_fast_client/offload/server_8c.log
preserve,8,115.926,115.926,115925632,115925632,0,0.000,3,131.393,53.278,2.712,9.393,2.148,12.272,51.513,1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0,62|63|64|65|66|67|68|69;46|47|48|49|50|51|52|53;54|55|56|57|58|59|60|61,results/raw/checksum_modes_txbuf_fast_client/preserve/server_8c.log
software,8,115.925,115.925,115925878,115925878,0,0.000,3,140.499,23.100,3.500,5.387,30.550,12.712,65.238,1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0;1|2|3|4|5|6|7|0,46|47|48|49|50|51|52|53;54|55|56|57|58|59|60|61;38|39|40|41|42|43|44|45,results/raw/checksum_modes_txbuf_fast_client/software/server_8c.log
