initializing port 0 with 1 queues
Checksum mode selected: offload
TX offloads: requested=0x6 supported=0x119fbf enabled=0x6
Port 0 MAC: 40 a6 b7 c3 3e 00

Core 0 running in server mode on queue 0. [Ctrl+C to quit]
TX buffer enabled on queue 0: buffer_size=128
[profile] queue_id=0 lcore=0 rx_pkts=4054144 tx_pkts=4054144 tx_drops=0 poll_count=28719262 empty_poll_count=28655915 nonempty_poll_count=63347 work_batches=63347 rx_mpps=4.054 tx_mpps=4.054 avg_burst=64.00 pkts_per_nonempty_poll=64.00 empty_poll_ratio=0.9978 total_cycles/poll=56.5 total_cycles/nonempty_batch=25609.9 total_cycles/pkt=400.2 empty_poll_cycles/nonempty_batch=22012.5 empty_poll_cycles/empty_poll=48.7 empty_poll_cycles/pkt=344.0 nonempty_poll_cycles/nonempty_batch=3597.4 nonempty_poll_cycles/nonempty_poll=3597.4 nonempty_poll_cycles/pkt=56.2 rx_cycles/nonempty_batch=7685.1 rx_cycles/pkt=120.1 parse_cycles/nonempty_batch=115.6 parse_cycles/pkt=1.8 rewrite_cycles/nonempty_batch=831.1 rewrite_cycles/pkt=13.0 checksum_cycles/nonempty_batch=1060.0 checksum_cycles/pkt=16.6 tx_cycles/nonempty_batch=949.3 tx_cycles/pkt=14.8 other_cycles/nonempty_batch=14968.8 other_cycles/pkt=233.9 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=37228288 tx_pkts=37228288 tx_drops=0 poll_count=581692 empty_poll_count=0 nonempty_poll_count=581692 work_batches=581692 rx_mpps=37.228 tx_mpps=37.228 avg_burst=64.00 pkts_per_nonempty_poll=64.00 empty_poll_ratio=0.0000 total_cycles/poll=3595.2 total_cycles/nonempty_batch=3595.2 total_cycles/pkt=56.2 empty_poll_cycles/nonempty_batch=0.0 empty_poll_cycles/empty_poll=0.0 empty_poll_cycles/pkt=0.0 nonempty_poll_cycles/nonempty_batch=3595.2 nonempty_poll_cycles/nonempty_poll=3595.2 nonempty_poll_cycles/pkt=56.2 rx_cycles/nonempty_batch=346.7 rx_cycles/pkt=5.4 parse_cycles/nonempty_batch=115.5 parse_cycles/pkt=1.8 rewrite_cycles/nonempty_batch=831.0 rewrite_cycles/pkt=13.0 checksum_cycles/nonempty_batch=1059.7 checksum_cycles/pkt=16.6 tx_cycles/nonempty_batch=947.8 tx_cycles/pkt=14.8 other_cycles/nonempty_batch=294.6 other_cycles/pkt=4.6 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=37443904 tx_pkts=37443904 tx_drops=0 poll_count=585061 empty_poll_count=0 nonempty_poll_count=585061 work_batches=585061 rx_mpps=37.444 tx_mpps=37.444 avg_burst=64.00 pkts_per_nonempty_poll=64.00 empty_poll_ratio=0.0000 total_cycles/poll=3574.3 total_cycles/nonempty_batch=3574.3 total_cycles/pkt=55.8 empty_poll_cycles/nonempty_batch=0.0 empty_poll_cycles/empty_poll=0.0 empty_poll_cycles/pkt=0.0 nonempty_poll_cycles/nonempty_batch=3574.3 nonempty_poll_cycles/nonempty_poll=3574.3 nonempty_poll_cycles/pkt=55.8 rx_cycles/nonempty_batch=345.9 rx_cycles/pkt=5.4 parse_cycles/nonempty_batch=116.8 parse_cycles/pkt=1.8 rewrite_cycles/nonempty_batch=808.2 rewrite_cycles/pkt=12.6 checksum_cycles/nonempty_batch=1061.8 checksum_cycles/pkt=16.6 tx_cycles/nonempty_batch=947.4 tx_cycles/pkt=14.8 other_cycles/nonempty_batch=294.2 other_cycles/pkt=4.6 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=43334848 tx_pkts=43334848 tx_drops=0 poll_count=677107 empty_poll_count=0 nonempty_poll_count=677107 work_batches=677107 rx_mpps=43.335 tx_mpps=43.335 avg_burst=64.00 pkts_per_nonempty_poll=64.00 empty_poll_ratio=0.0000 total_cycles/poll=3086.5 total_cycles/nonempty_batch=3086.5 total_cycles/pkt=48.2 empty_poll_cycles/nonempty_batch=0.0 empty_poll_cycles/empty_poll=0.0 empty_poll_cycles/pkt=0.0 nonempty_poll_cycles/nonempty_batch=3086.5 nonempty_poll_cycles/nonempty_poll=3086.5 nonempty_poll_cycles/pkt=48.2 rx_cycles/nonempty_batch=315.5 rx_cycles/pkt=4.9 parse_cycles/nonempty_batch=127.1 parse_cycles/pkt=2.0 rewrite_cycles/nonempty_batch=444.9 rewrite_cycles/pkt=7.0 checksum_cycles/nonempty_batch=1033.3 checksum_cycles/pkt=16.1 tx_cycles/nonempty_batch=904.4 tx_cycles/pkt=14.1 other_cycles/nonempty_batch=261.3 other_cycles/pkt=4.1 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=43706240 tx_pkts=43706240 tx_drops=0 poll_count=682910 empty_poll_count=0 nonempty_poll_count=682910 work_batches=682910 rx_mpps=43.706 tx_mpps=43.706 avg_burst=64.00 pkts_per_nonempty_poll=64.00 empty_poll_ratio=0.0000 total_cycles/poll=3060.1 total_cycles/nonempty_batch=3060.1 total_cycles/pkt=47.8 empty_poll_cycles/nonempty_batch=0.0 empty_poll_cycles/empty_poll=0.0 empty_poll_cycles/pkt=0.0 nonempty_poll_cycles/nonempty_batch=3060.1 nonempty_poll_cycles/nonempty_poll=3060.1 nonempty_poll_cycles/pkt=47.8 rx_cycles/nonempty_batch=314.5 rx_cycles/pkt=4.9 parse_cycles/nonempty_batch=126.9 parse_cycles/pkt=2.0 rewrite_cycles/nonempty_batch=430.0 rewrite_cycles/pkt=6.7 checksum_cycles/nonempty_batch=1034.1 checksum_cycles/pkt=16.2 tx_cycles/nonempty_batch=899.9 tx_cycles/pkt=14.1 other_cycles/nonempty_batch=254.6 other_cycles/pkt=4.0 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=39016696 tx_pkts=39016696 tx_drops=0 poll_count=4446137 empty_poll_count=3836501 nonempty_poll_count=609636 work_batches=609636 rx_mpps=39.017 tx_mpps=39.017 avg_burst=64.00 pkts_per_nonempty_poll=64.00 empty_poll_ratio=0.8629 total_cycles/poll=457.1 total_cycles/nonempty_batch=3334.0 total_cycles/pkt=52.1 empty_poll_cycles/nonempty_batch=279.3 empty_poll_cycles/empty_poll=44.4 empty_poll_cycles/pkt=4.4 nonempty_poll_cycles/nonempty_batch=3054.7 nonempty_poll_cycles/nonempty_poll=3054.7 nonempty_poll_cycles/pkt=47.7 rx_cycles/nonempty_batch=407.5 rx_cycles/pkt=6.4 parse_cycles/nonempty_batch=127.0 parse_cycles/pkt=2.0 rewrite_cycles/nonempty_batch=425.7 rewrite_cycles/pkt=6.7 checksum_cycles/nonempty_batch=1034.2 checksum_cycles/pkt=16.2 tx_cycles/nonempty_batch=899.7 tx_cycles/pkt=14.1 other_cycles/nonempty_batch=439.9 other_cycles/pkt=6.9 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=0 tx_pkts=0 tx_drops=0 poll_count=35253961 empty_poll_count=35253961 nonempty_poll_count=0 work_batches=0 rx_mpps=0.000 tx_mpps=0.000 avg_burst=0.00 pkts_per_nonempty_poll=0.00 empty_poll_ratio=1.0000 total_cycles/poll=44.4 total_cycles/nonempty_batch=0.0 total_cycles/pkt=0.0 empty_poll_cycles/nonempty_batch=0.0 empty_poll_cycles/empty_poll=44.4 empty_poll_cycles/pkt=0.0 nonempty_poll_cycles/nonempty_batch=0.0 nonempty_poll_cycles/nonempty_poll=0.0 nonempty_poll_cycles/pkt=0.0 rx_cycles/nonempty_batch=0.0 rx_cycles/pkt=0.0 parse_cycles/nonempty_batch=0.0 parse_cycles/pkt=0.0 rewrite_cycles/nonempty_batch=0.0 rewrite_cycles/pkt=0.0 checksum_cycles/nonempty_batch=0.0 checksum_cycles/pkt=0.0 tx_cycles/nonempty_batch=0.0 tx_cycles/pkt=0.0 other_cycles/nonempty_batch=0.0 other_cycles/pkt=0.0 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=0 tx_pkts=0 tx_drops=0 poll_count=35256049 empty_poll_count=35256049 nonempty_poll_count=0 work_batches=0 rx_mpps=0.000 tx_mpps=0.000 avg_burst=0.00 pkts_per_nonempty_poll=0.00 empty_poll_ratio=1.0000 total_cycles/poll=44.4 total_cycles/nonempty_batch=0.0 total_cycles/pkt=0.0 empty_poll_cycles/nonempty_batch=0.0 empty_poll_cycles/empty_poll=44.4 empty_poll_cycles/pkt=0.0 nonempty_poll_cycles/nonempty_batch=0.0 nonempty_poll_cycles/nonempty_poll=0.0 nonempty_poll_cycles/pkt=0.0 rx_cycles/nonempty_batch=0.0 rx_cycles/pkt=0.0 parse_cycles/nonempty_batch=0.0 parse_cycles/pkt=0.0 rewrite_cycles/nonempty_batch=0.0 rewrite_cycles/pkt=0.0 checksum_cycles/nonempty_batch=0.0 checksum_cycles/pkt=0.0 tx_cycles/nonempty_batch=0.0 tx_cycles/pkt=0.0 other_cycles/nonempty_batch=0.0 other_cycles/pkt=0.0 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=0 tx_pkts=0 tx_drops=0 poll_count=35148932 empty_poll_count=35148932 nonempty_poll_count=0 work_batches=0 rx_mpps=0.000 tx_mpps=0.000 avg_burst=0.00 pkts_per_nonempty_poll=0.00 empty_poll_ratio=1.0000 total_cycles/poll=44.5 total_cycles/nonempty_batch=0.0 total_cycles/pkt=0.0 empty_poll_cycles/nonempty_batch=0.0 empty_poll_cycles/empty_poll=44.5 empty_poll_cycles/pkt=0.0 nonempty_poll_cycles/nonempty_batch=0.0 nonempty_poll_cycles/nonempty_poll=0.0 nonempty_poll_cycles/pkt=0.0 rx_cycles/nonempty_batch=0.0 rx_cycles/pkt=0.0 parse_cycles/nonempty_batch=0.0 parse_cycles/pkt=0.0 rewrite_cycles/nonempty_batch=0.0 rewrite_cycles/pkt=0.0 checksum_cycles/nonempty_batch=0.0 checksum_cycles/pkt=0.0 tx_cycles/nonempty_batch=0.0 tx_cycles/pkt=0.0 other_cycles/nonempty_batch=0.0 other_cycles/pkt=0.0 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=0 tx_pkts=0 tx_drops=0 poll_count=35264430 empty_poll_count=35264430 nonempty_poll_count=0 work_batches=0 rx_mpps=0.000 tx_mpps=0.000 avg_burst=0.00 pkts_per_nonempty_poll=0.00 empty_poll_ratio=1.0000 total_cycles/poll=44.4 total_cycles/nonempty_batch=0.0 total_cycles/pkt=0.0 empty_poll_cycles/nonempty_batch=0.0 empty_poll_cycles/empty_poll=44.4 empty_poll_cycles/pkt=0.0 nonempty_poll_cycles/nonempty_batch=0.0 nonempty_poll_cycles/nonempty_poll=0.0 nonempty_poll_cycles/pkt=0.0 rx_cycles/nonempty_batch=0.0 rx_cycles/pkt=0.0 parse_cycles/nonempty_batch=0.0 parse_cycles/pkt=0.0 rewrite_cycles/nonempty_batch=0.0 rewrite_cycles/pkt=0.0 checksum_cycles/nonempty_batch=0.0 checksum_cycles/pkt=0.0 tx_cycles/nonempty_batch=0.0 tx_cycles/pkt=0.0 other_cycles/nonempty_batch=0.0 other_cycles/pkt=0.0 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=0 tx_pkts=0 tx_drops=0 poll_count=35252369 empty_poll_count=35252369 nonempty_poll_count=0 work_batches=0 rx_mpps=0.000 tx_mpps=0.000 avg_burst=0.00 pkts_per_nonempty_poll=0.00 empty_poll_ratio=1.0000 total_cycles/poll=44.4 total_cycles/nonempty_batch=0.0 total_cycles/pkt=0.0 empty_poll_cycles/nonempty_batch=0.0 empty_poll_cycles/empty_poll=44.4 empty_poll_cycles/pkt=0.0 nonempty_poll_cycles/nonempty_batch=0.0 nonempty_poll_cycles/nonempty_poll=0.0 nonempty_poll_cycles/pkt=0.0 rx_cycles/nonempty_batch=0.0 rx_cycles/pkt=0.0 parse_cycles/nonempty_batch=0.0 parse_cycles/pkt=0.0 rewrite_cycles/nonempty_batch=0.0 rewrite_cycles/pkt=0.0 checksum_cycles/nonempty_batch=0.0 checksum_cycles/pkt=0.0 tx_cycles/nonempty_batch=0.0 tx_cycles/pkt=0.0 other_cycles/nonempty_batch=0.0 other_cycles/pkt=0.0 cpu_ghz=2.100
