initializing port 0 with 8 queues
Checksum mode selected: software
TX offloads: requested=0x0 supported=0x119fbf enabled=0x0
Port 0 RSS enabled: rss_hf=0x20 reta_size=512 hash_key_size=52
Port 0 MAC: 40 a6 b7 c3 3e 00

Core 1 running in server mode on queue 1. [Ctrl+C to quit]
TX buffer enabled on queue 1: buffer_size=64
RX prefetch enabled on queue 1: offset=4

Core 2 running in server mode on queue 2. [Ctrl+C to quit]
TX buffer enabled on queue 2: buffer_size=64
RX prefetch enabled on queue 2: offset=4

Core 3 running in server mode on queue 3. [Ctrl+C to quit]
TX buffer enabled on queue 3: buffer_size=64
RX prefetch enabled on queue 3: offset=4

Core 4 running in server mode on queue 4. [Ctrl+C to quit]
TX buffer enabled on queue 4: buffer_size=64
RX prefetch enabled on queue 4: offset=4

Core 5 running in server mode on queue 5. [Ctrl+C to quit]
TX buffer enabled on queue 5: buffer_size=64
RX prefetch enabled on queue 5: offset=4

Core 6 running in server mode on queue 6. [Ctrl+C to quit]
TX buffer enabled on queue 6: buffer_size=64
RX prefetch enabled on queue 6: offset=4

Core 7 running in server mode on queue 7. [Ctrl+C to quit]
TX buffer enabled on queue 7: buffer_size=64

Core 0 running in server mode on queue 0. [Ctrl+C to quit]
TX buffer enabled on queue 0: buffer_size=64
RX prefetch enabled on queue 0: offset=4
RX prefetch enabled on queue 7: offset=4
[profile] queue_id=1 lcore=1 rx_pkts=2220988 tx_pkts=2220988 tx_drops=0 poll_count=25558435 empty_poll_count=25021377 nonempty_poll_count=537058 work_batches=537058 rx_mpps=2.221 tx_mpps=2.221 avg_burst=4.14 pkts_per_nonempty_poll=4.14 empty_poll_ratio=0.9790 total_cycles/poll=64.1 total_cycles/nonempty_batch=3048.3 total_cycles/pkt=737.1 empty_poll_cycles/nonempty_batch=2507.0 empty_poll_cycles/empty_poll=53.8 empty_poll_cycles/pkt=606.2 nonempty_poll_cycles/nonempty_batch=541.3 nonempty_poll_cycles/nonempty_poll=541.3 nonempty_poll_cycles/pkt=130.9 rx_cycles/nonempty_batch=901.3 rx_cycles/pkt=217.9 parse_cycles/nonempty_batch=15.4 parse_cycles/pkt=3.7 rewrite_cycles/nonempty_batch=20.1 rewrite_cycles/pkt=4.9 checksum_cycles/nonempty_batch=134.0 checksum_cycles/pkt=32.4 tx_cycles/nonempty_batch=51.7 tx_cycles/pkt=12.5 other_cycles/nonempty_batch=1925.8 other_cycles/pkt=465.7 cpu_ghz=2.100
[profile] queue_id=2 lcore=2 rx_pkts=2223372 tx_pkts=2223332 tx_drops=0 poll_count=25557452 empty_poll_count=25020504 nonempty_poll_count=536948 work_batches=536948 rx_mpps=2.223 tx_mpps=2.223 avg_burst=4.14 pkts_per_nonempty_poll=4.14 empty_poll_ratio=0.9790 total_cycles/poll=64.0 total_cycles/nonempty_batch=3048.1 total_cycles/pkt=736.1 empty_poll_cycles/nonempty_batch=2507.6 empty_poll_cycles/empty_poll=53.8 empty_poll_cycles/pkt=605.6 nonempty_poll_cycles/nonempty_batch=540.4 nonempty_poll_cycles/nonempty_poll=540.4 nonempty_poll_cycles/pkt=130.5 rx_cycles/nonempty_batch=902.8 rx_cycles/pkt=218.0 parse_cycles/nonempty_batch=15.5 parse_cycles/pkt=3.7 rewrite_cycles/nonempty_batch=20.1 rewrite_cycles/pkt=4.9 checksum_cycles/nonempty_batch=129.7 checksum_cycles/pkt=31.3 tx_cycles/nonempty_batch=52.1 tx_cycles/pkt=12.6 other_cycles/nonempty_batch=1927.9 other_cycles/pkt=465.6 cpu_ghz=2.100
[profile] queue_id=3 lcore=3 rx_pkts=2265928 tx_pkts=2265928 tx_drops=0 poll_count=25800066 empty_poll_count=25253593 nonempty_poll_count=546473 work_batches=546473 rx_mpps=2.266 tx_mpps=2.266 avg_burst=4.15 pkts_per_nonempty_poll=4.15 empty_poll_ratio=0.9788 total_cycles/poll=63.5 total_cycles/nonempty_batch=2996.7 total_cycles/pkt=722.7 empty_poll_cycles/nonempty_batch=2462.0 empty_poll_cycles/empty_poll=53.3 empty_poll_cycles/pkt=593.8 nonempty_poll_cycles/nonempty_batch=534.8 nonempty_poll_cycles/nonempty_poll=534.8 nonempty_poll_cycles/pkt=129.0 rx_cycles/nonempty_batch=885.8 rx_cycles/pkt=213.6 parse_cycles/nonempty_batch=15.5 parse_cycles/pkt=3.7 rewrite_cycles/nonempty_batch=20.3 rewrite_cycles/pkt=4.9 checksum_cycles/nonempty_batch=125.7 checksum_cycles/pkt=30.3 tx_cycles/nonempty_batch=51.0 tx_cycles/pkt=12.3 other_cycles/nonempty_batch=1898.4 other_cycles/pkt=457.8 cpu_ghz=2.100
[profile] queue_id=4 lcore=4 rx_pkts=2228984 tx_pkts=2228984 tx_drops=0 poll_count=25587534 empty_poll_count=25049994 nonempty_poll_count=537540 work_batches=537540 rx_mpps=2.229 tx_mpps=2.229 avg_burst=4.15 pkts_per_nonempty_poll=4.15 empty_poll_ratio=0.9790 total_cycles/poll=64.0 total_cycles/nonempty_batch=3046.8 total_cycles/pkt=734.8 empty_poll_cycles/nonempty_batch=2506.0 empty_poll_cycles/empty_poll=53.8 empty_poll_cycles/pkt=604.3 nonempty_poll_cycles/nonempty_batch=540.8 nonempty_poll_cycles/nonempty_poll=540.8 nonempty_poll_cycles/pkt=130.4 rx_cycles/nonempty_batch=902.4 rx_cycles/pkt=217.6 parse_cycles/nonempty_batch=15.6 parse_cycles/pkt=3.8 rewrite_cycles/nonempty_batch=20.3 rewrite_cycles/pkt=4.9 checksum_cycles/nonempty_batch=124.7 checksum_cycles/pkt=30.1 tx_cycles/nonempty_batch=52.3 tx_cycles/pkt=12.6 other_cycles/nonempty_batch=1931.5 other_cycles/pkt=465.8 cpu_ghz=2.100
[profile] queue_id=5 lcore=5 rx_pkts=2269172 tx_pkts=2269172 tx_drops=0 poll_count=25537294 empty_poll_count=25007793 nonempty_poll_count=529501 work_batches=529501 rx_mpps=2.269 tx_mpps=2.269 avg_burst=4.29 pkts_per_nonempty_poll=4.29 empty_poll_ratio=0.9793 total_cycles/poll=64.1 total_cycles/nonempty_batch=3093.6 total_cycles/pkt=721.9 empty_poll_cycles/nonempty_batch=2538.7 empty_poll_cycles/empty_poll=53.8 empty_poll_cycles/pkt=592.4 nonempty_poll_cycles/nonempty_batch=554.9 nonempty_poll_cycles/nonempty_poll=554.9 nonempty_poll_cycles/pkt=129.5 rx_cycles/nonempty_batch=916.1 rx_cycles/pkt=213.8 parse_cycles/nonempty_batch=16.1 parse_cycles/pkt=3.8 rewrite_cycles/nonempty_batch=22.5 rewrite_cycles/pkt=5.3 checksum_cycles/nonempty_batch=138.2 checksum_cycles/pkt=32.2 tx_cycles/nonempty_batch=57.1 tx_cycles/pkt=13.3 other_cycles/nonempty_batch=1943.7 other_cycles/pkt=453.5 cpu_ghz=2.100
[profile] queue_id=6 lcore=6 rx_pkts=2269744 tx_pkts=2269744 tx_drops=0 poll_count=25557865 empty_poll_count=25012824 nonempty_poll_count=545041 work_batches=545041 rx_mpps=2.270 tx_mpps=2.270 avg_burst=4.16 pkts_per_nonempty_poll=4.16 empty_poll_ratio=0.9787 total_cycles/poll=64.1 total_cycles/nonempty_batch=3004.6 total_cycles/pkt=721.5 empty_poll_cycles/nonempty_batch=2468.2 empty_poll_cycles/empty_poll=53.8 empty_poll_cycles/pkt=592.7 nonempty_poll_cycles/nonempty_batch=536.4 nonempty_poll_cycles/nonempty_poll=536.4 nonempty_poll_cycles/pkt=128.8 rx_cycles/nonempty_batch=887.3 rx_cycles/pkt=213.1 parse_cycles/nonempty_batch=15.5 parse_cycles/pkt=3.7 rewrite_cycles/nonempty_batch=19.7 rewrite_cycles/pkt=4.7 checksum_cycles/nonempty_batch=126.7 checksum_cycles/pkt=30.4 tx_cycles/nonempty_batch=51.4 tx_cycles/pkt=12.3 other_cycles/nonempty_batch=1904.1 other_cycles/pkt=457.2 cpu_ghz=2.100
[profile] queue_id=7 lcore=7 rx_pkts=2231860 tx_pkts=2231860 tx_drops=0 poll_count=25801197 empty_poll_count=25259243 nonempty_poll_count=541954 work_batches=541954 rx_mpps=2.232 tx_mpps=2.232 avg_burst=4.12 pkts_per_nonempty_poll=4.12 empty_poll_ratio=0.9790 total_cycles/poll=63.4 total_cycles/nonempty_batch=3020.6 total_cycles/pkt=733.5 empty_poll_cycles/nonempty_batch=2484.3 empty_poll_cycles/empty_poll=53.3 empty_poll_cycles/pkt=603.3 nonempty_poll_cycles/nonempty_batch=536.3 nonempty_poll_cycles/nonempty_poll=536.3 nonempty_poll_cycles/pkt=130.2 rx_cycles/nonempty_batch=891.5 rx_cycles/pkt=216.5 parse_cycles/nonempty_batch=15.4 parse_cycles/pkt=3.7 rewrite_cycles/nonempty_batch=19.2 rewrite_cycles/pkt=4.7 checksum_cycles/nonempty_batch=123.6 checksum_cycles/pkt=30.0 tx_cycles/nonempty_batch=51.7 tx_cycles/pkt=12.6 other_cycles/nonempty_batch=1919.2 other_cycles/pkt=466.0 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=2270684 tx_pkts=2270684 tx_drops=0 poll_count=26655060 empty_poll_count=26124405 nonempty_poll_count=530655 work_batches=530655 rx_mpps=2.271 tx_mpps=2.271 avg_burst=4.28 pkts_per_nonempty_poll=4.28 empty_poll_ratio=0.9801 total_cycles/poll=61.5 total_cycles/nonempty_batch=3087.0 total_cycles/pkt=721.4 empty_poll_cycles/nonempty_batch=2532.4 empty_poll_cycles/empty_poll=51.4 empty_poll_cycles/pkt=591.8 nonempty_poll_cycles/nonempty_batch=554.6 nonempty_poll_cycles/nonempty_poll=554.6 nonempty_poll_cycles/pkt=129.6 rx_cycles/nonempty_batch=914.9 rx_cycles/pkt=213.8 parse_cycles/nonempty_batch=15.8 parse_cycles/pkt=3.7 rewrite_cycles/nonempty_batch=22.4 rewrite_cycles/pkt=5.2 checksum_cycles/nonempty_batch=136.5 checksum_cycles/pkt=31.9 tx_cycles/nonempty_batch=55.8 tx_cycles/pkt=13.0 other_cycles/nonempty_batch=1941.6 other_cycles/pkt=453.7 cpu_ghz=2.100
[profile] queue_id=1 lcore=1 rx_pkts=14492304 tx_pkts=14492304 tx_drops=0 poll_count=4251836 empty_poll_count=789967 nonempty_poll_count=3461869 work_batches=3461869 rx_mpps=14.492 tx_mpps=14.492 avg_burst=4.19 pkts_per_nonempty_poll=4.19 empty_poll_ratio=0.1858 total_cycles/poll=478.9 total_cycles/nonempty_batch=588.2 total_cycles/pkt=140.5 empty_poll_cycles/nonempty_batch=53.0 empty_poll_cycles/empty_poll=232.4 empty_poll_cycles/pkt=12.7 nonempty_poll_cycles/nonempty_batch=535.1 nonempty_poll_cycles/nonempty_poll=535.1 nonempty_poll_cycles/pkt=127.8 rx_cycles/nonempty_batch=78.6 rx_cycles/pkt=18.8 parse_cycles/nonempty_batch=15.4 parse_cycles/pkt=3.7 rewrite_cycles/nonempty_batch=19.5 rewrite_cycles/pkt=4.7 checksum_cycles/nonempty_batch=129.9 checksum_cycles/pkt=31.0 tx_cycles/nonempty_batch=52.7 tx_cycles/pkt=12.6 other_cycles/nonempty_batch=292.1 other_cycles/pkt=69.8 cpu_ghz=2.100
[profile] queue_id=2 lcore=2 rx_pkts=14492312 tx_pkts=14492352 tx_drops=0 poll_count=4116765 empty_poll_count=721671 nonempty_poll_count=3395094 work_batches=3395094 rx_mpps=14.492 tx_mpps=14.492 avg_burst=4.27 pkts_per_nonempty_poll=4.27 empty_poll_ratio=0.1753 total_cycles/poll=495.1 total_cycles/nonempty_batch=600.3 total_cycles/pkt=140.6 empty_poll_cycles/nonempty_batch=55.5 empty_poll_cycles/empty_poll=261.1 empty_poll_cycles/pkt=13.0 nonempty_poll_cycles/nonempty_batch=544.8 nonempty_poll_cycles/nonempty_poll=544.8 nonempty_poll_cycles/pkt=127.6 rx_cycles/nonempty_batch=82.7 rx_cycles/pkt=19.4 parse_cycles/nonempty_batch=15.6 parse_cycles/pkt=3.7 rewrite_cycles/nonempty_batch=20.4 rewrite_cycles/pkt=4.8 checksum_cycles/nonempty_batch=132.9 checksum_cycles/pkt=31.1 tx_cycles/nonempty_batch=56.6 tx_cycles/pkt=13.3 other_cycles/nonempty_batch=292.2 other_cycles/pkt=68.4 cpu_ghz=2.100
[profile] queue_id=3 lcore=3 rx_pkts=14493392 tx_pkts=14493392 tx_drops=0 poll_count=4185979 empty_poll_count=751715 nonempty_poll_count=3434264 work_batches=3434264 rx_mpps=14.493 tx_mpps=14.493 avg_burst=4.22 pkts_per_nonempty_poll=4.22 empty_poll_ratio=0.1796 total_cycles/poll=486.7 total_cycles/nonempty_batch=593.2 total_cycles/pkt=140.6 empty_poll_cycles/nonempty_batch=55.9 empty_poll_cycles/empty_poll=255.5 empty_poll_cycles/pkt=13.3 nonempty_poll_cycles/nonempty_batch=537.3 nonempty_poll_cycles/nonempty_poll=537.3 nonempty_poll_cycles/pkt=127.3 rx_cycles/nonempty_batch=79.0 rx_cycles/pkt=18.7 parse_cycles/nonempty_batch=15.5 parse_cycles/pkt=3.7 rewrite_cycles/nonempty_batch=20.0 rewrite_cycles/pkt=4.7 checksum_cycles/nonempty_batch=130.0 checksum_cycles/pkt=30.8 tx_cycles/nonempty_batch=55.9 tx_cycles/pkt=13.3 other_cycles/nonempty_batch=292.7 other_cycles/pkt=69.4 cpu_ghz=2.100
