initializing port 0 with 1 queues
Port 0 MAC: 40 a6 b7 c3 3e 00

Core 0 running in server mode on queue 0. [Ctrl+C to quit]
[profile] queue_id=0 lcore=0 rx_pkts=37855 tx_pkts=37855 tx_drops=0 poll_count=30517690 empty_poll_count=30479835 nonempty_poll_count=37855 work_batches=37855 rx_mpps=0.038 tx_mpps=0.038 avg_burst=1.00 pkts_per_nonempty_poll=1.00 empty_poll_ratio=0.9988 total_cycles/poll=51.4 total_cycles/nonempty_batch=41406.5 total_cycles/pkt=41406.5 empty_poll_cycles/nonempty_batch=40914.4 empty_poll_cycles/empty_poll=50.8 empty_poll_cycles/pkt=40914.4 nonempty_poll_cycles/nonempty_batch=492.1 nonempty_poll_cycles/nonempty_poll=492.1 nonempty_poll_cycles/pkt=492.1 rx_cycles/nonempty_batch=13884.4 rx_cycles/pkt=13884.4 parse_cycles/nonempty_batch=14.8 parse_cycles/pkt=14.8 rewrite_cycles/nonempty_batch=15.1 rewrite_cycles/pkt=15.1 checksum_cycles/nonempty_batch=27.8 checksum_cycles/pkt=27.8 tx_cycles/nonempty_batch=36.7 tx_cycles/pkt=36.7 other_cycles/nonempty_batch=27427.7 other_cycles/pkt=27427.7 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=100269 tx_pkts=100269 tx_drops=0 poll_count=34477296 empty_poll_count=34377027 nonempty_poll_count=100269 work_batches=100269 rx_mpps=0.100 tx_mpps=0.100 avg_burst=1.00 pkts_per_nonempty_poll=1.00 empty_poll_ratio=0.9971 total_cycles/poll=45.7 total_cycles/nonempty_batch=15713.7 total_cycles/pkt=15713.7 empty_poll_cycles/nonempty_batch=15222.1 empty_poll_cycles/empty_poll=44.4 empty_poll_cycles/pkt=15222.1 nonempty_poll_cycles/nonempty_batch=491.5 nonempty_poll_cycles/nonempty_poll=491.5 nonempty_poll_cycles/pkt=491.5 rx_cycles/nonempty_batch=5320.9 rx_cycles/pkt=5320.9 parse_cycles/nonempty_batch=14.8 parse_cycles/pkt=14.8 rewrite_cycles/nonempty_batch=15.2 rewrite_cycles/pkt=15.2 checksum_cycles/nonempty_batch=27.0 checksum_cycles/pkt=27.0 tx_cycles/nonempty_batch=36.4 tx_cycles/pkt=36.4 other_cycles/nonempty_batch=10299.3 other_cycles/pkt=10299.3 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=100298 tx_pkts=100298 tx_drops=0 poll_count=34487732 empty_poll_count=34387434 nonempty_poll_count=100298 work_batches=100298 rx_mpps=0.100 tx_mpps=0.100 avg_burst=1.00 pkts_per_nonempty_poll=1.00 empty_poll_ratio=0.9971 total_cycles/poll=45.7 total_cycles/nonempty_batch=15709.2 total_cycles/pkt=15709.2 empty_poll_cycles/nonempty_batch=15217.4 empty_poll_cycles/empty_poll=44.4 empty_poll_cycles/pkt=15217.4 nonempty_poll_cycles/nonempty_batch=491.8 nonempty_poll_cycles/nonempty_poll=491.8 nonempty_poll_cycles/pkt=491.8 rx_cycles/nonempty_batch=5319.8 rx_cycles/pkt=5319.8 parse_cycles/nonempty_batch=14.8 parse_cycles/pkt=14.8 rewrite_cycles/nonempty_batch=15.2 rewrite_cycles/pkt=15.2 checksum_cycles/nonempty_batch=27.0 checksum_cycles/pkt=27.0 tx_cycles/nonempty_batch=36.2 tx_cycles/pkt=36.2 other_cycles/nonempty_batch=10296.2 other_cycles/pkt=10296.2 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=100352 tx_pkts=100352 tx_drops=0 poll_count=34483894 empty_poll_count=34383542 nonempty_poll_count=100352 work_batches=100352 rx_mpps=0.100 tx_mpps=0.100 avg_burst=1.00 pkts_per_nonempty_poll=1.00 empty_poll_ratio=0.9971 total_cycles/poll=45.7 total_cycles/nonempty_batch=15700.8 total_cycles/pkt=15700.8 empty_poll_cycles/nonempty_batch=15208.0 empty_poll_cycles/empty_poll=44.4 empty_poll_cycles/pkt=15208.0 nonempty_poll_cycles/nonempty_batch=492.8 nonempty_poll_cycles/nonempty_poll=492.8 nonempty_poll_cycles/pkt=492.8 rx_cycles/nonempty_batch=5317.6 rx_cycles/pkt=5317.6 parse_cycles/nonempty_batch=14.8 parse_cycles/pkt=14.8 rewrite_cycles/nonempty_batch=15.2 rewrite_cycles/pkt=15.2 checksum_cycles/nonempty_batch=27.0 checksum_cycles/pkt=27.0 tx_cycles/nonempty_batch=36.2 tx_cycles/pkt=36.2 other_cycles/nonempty_batch=10290.0 other_cycles/pkt=10290.0 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=100356 tx_pkts=100356 tx_drops=0 poll_count=34491707 empty_poll_count=34391351 nonempty_poll_count=100356 work_batches=100356 rx_mpps=0.100 tx_mpps=0.100 avg_burst=1.00 pkts_per_nonempty_poll=1.00 empty_poll_ratio=0.9971 total_cycles/poll=45.7 total_cycles/nonempty_batch=15701.6 total_cycles/pkt=15701.6 empty_poll_cycles/nonempty_batch=15210.2 empty_poll_cycles/empty_poll=44.4 empty_poll_cycles/pkt=15210.2 nonempty_poll_cycles/nonempty_batch=491.4 nonempty_poll_cycles/nonempty_poll=491.4 nonempty_poll_cycles/pkt=491.4 rx_cycles/nonempty_batch=5317.8 rx_cycles/pkt=5317.8 parse_cycles/nonempty_batch=14.8 parse_cycles/pkt=14.8 rewrite_cycles/nonempty_batch=15.2 rewrite_cycles/pkt=15.2 checksum_cycles/nonempty_batch=27.0 checksum_cycles/pkt=27.0 tx_cycles/nonempty_batch=36.0 tx_cycles/pkt=36.0 other_cycles/nonempty_batch=10290.8 other_cycles/pkt=10290.8 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=9044414 tx_pkts=9044414 tx_drops=0 poll_count=22682474 empty_poll_count=22120503 nonempty_poll_count=561971 work_batches=561971 rx_mpps=9.044 tx_mpps=9.044 avg_burst=16.09 pkts_per_nonempty_poll=16.09 empty_poll_ratio=0.9752 total_cycles/poll=77.4 total_cycles/nonempty_batch=3122.4 total_cycles/pkt=194.0 empty_poll_cycles/nonempty_batch=1758.3 empty_poll_cycles/empty_poll=44.7 empty_poll_cycles/pkt=109.3 nonempty_poll_cycles/nonempty_batch=1364.1 nonempty_poll_cycles/nonempty_poll=1364.1 nonempty_poll_cycles/pkt=84.8 rx_cycles/nonempty_batch=919.7 rx_cycles/pkt=57.1 parse_cycles/nonempty_batch=29.0 parse_cycles/pkt=1.8 rewrite_cycles/nonempty_batch=173.7 rewrite_cycles/pkt=10.8 checksum_cycles/nonempty_batch=498.8 checksum_cycles/pkt=31.0 tx_cycles/nonempty_batch=149.2 tx_cycles/pkt=9.3 other_cycles/nonempty_batch=1352.0 other_cycles/pkt=84.0 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=23976344 tx_pkts=23976344 tx_drops=0 poll_count=3518878 empty_poll_count=2166249 nonempty_poll_count=1352629 work_batches=1352629 rx_mpps=23.976 tx_mpps=23.976 avg_burst=17.73 pkts_per_nonempty_poll=17.73 empty_poll_ratio=0.6156 total_cycles/poll=581.7 total_cycles/nonempty_batch=1513.2 total_cycles/pkt=85.4 empty_poll_cycles/nonempty_batch=81.8 empty_poll_cycles/empty_poll=51.1 empty_poll_cycles/pkt=4.6 nonempty_poll_cycles/nonempty_batch=1431.4 nonempty_poll_cycles/nonempty_poll=1431.4 nonempty_poll_cycles/pkt=80.8 rx_cycles/nonempty_batch=370.8 rx_cycles/pkt=20.9 parse_cycles/nonempty_batch=29.6 parse_cycles/pkt=1.7 rewrite_cycles/nonempty_batch=186.8 rewrite_cycles/pkt=10.5 checksum_cycles/nonempty_batch=532.8 checksum_cycles/pkt=30.1 tx_cycles/nonempty_batch=158.0 tx_cycles/pkt=8.9 other_cycles/nonempty_batch=235.1 other_cycles/pkt=13.3 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=23946184 tx_pkts=23946184 tx_drops=0 poll_count=3597914 empty_poll_count=2244058 nonempty_poll_count=1353856 work_batches=1353856 rx_mpps=23.946 tx_mpps=23.946 avg_burst=17.69 pkts_per_nonempty_poll=17.69 empty_poll_ratio=0.6237 total_cycles/poll=568.5 total_cycles/nonempty_batch=1510.9 total_cycles/pkt=85.4 empty_poll_cycles/nonempty_batch=84.5 empty_poll_cycles/empty_poll=51.0 empty_poll_cycles/pkt=4.8 nonempty_poll_cycles/nonempty_batch=1426.4 nonempty_poll_cycles/nonempty_poll=1426.4 nonempty_poll_cycles/pkt=80.6 rx_cycles/nonempty_batch=372.0 rx_cycles/pkt=21.0 parse_cycles/nonempty_batch=29.6 parse_cycles/pkt=1.7 rewrite_cycles/nonempty_batch=183.8 rewrite_cycles/pkt=10.4 checksum_cycles/nonempty_batch=531.6 checksum_cycles/pkt=30.1 tx_cycles/nonempty_batch=157.7 tx_cycles/pkt=8.9 other_cycles/nonempty_batch=236.2 other_cycles/pkt=13.4 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=23962420 tx_pkts=23962420 tx_drops=0 poll_count=3578395 empty_poll_count=2222932 nonempty_poll_count=1355463 work_batches=1355463 rx_mpps=23.962 tx_mpps=23.962 avg_burst=17.68 pkts_per_nonempty_poll=17.68 empty_poll_ratio=0.6212 total_cycles/poll=571.7 total_cycles/nonempty_batch=1509.4 total_cycles/pkt=85.4 empty_poll_cycles/nonempty_batch=83.7 empty_poll_cycles/empty_poll=51.1 empty_poll_cycles/pkt=4.7 nonempty_poll_cycles/nonempty_batch=1425.6 nonempty_poll_cycles/nonempty_poll=1425.6 nonempty_poll_cycles/pkt=80.6 rx_cycles/nonempty_batch=372.1 rx_cycles/pkt=21.0 parse_cycles/nonempty_batch=29.6 parse_cycles/pkt=1.7 rewrite_cycles/nonempty_batch=183.7 rewrite_cycles/pkt=10.4 checksum_cycles/nonempty_batch=531.2 checksum_cycles/pkt=30.0 tx_cycles/nonempty_batch=157.7 tx_cycles/pkt=8.9 other_cycles/nonempty_batch=235.2 other_cycles/pkt=13.3 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=23983228 tx_pkts=23983228 tx_drops=0 poll_count=3518044 empty_poll_count=2164212 nonempty_poll_count=1353832 work_batches=1353832 rx_mpps=23.983 tx_mpps=23.983 avg_burst=17.72 pkts_per_nonempty_poll=17.72 empty_poll_ratio=0.6152 total_cycles/poll=581.8 total_cycles/nonempty_batch=1511.9 total_cycles/pkt=85.3 empty_poll_cycles/nonempty_batch=81.7 empty_poll_cycles/empty_poll=51.1 empty_poll_cycles/pkt=4.6 nonempty_poll_cycles/nonempty_batch=1430.2 nonempty_poll_cycles/nonempty_poll=1430.2 nonempty_poll_cycles/pkt=80.7 rx_cycles/nonempty_batch=370.4 rx_cycles/pkt=20.9 parse_cycles/nonempty_batch=29.6 parse_cycles/pkt=1.7 rewrite_cycles/nonempty_batch=186.4 rewrite_cycles/pkt=10.5 checksum_cycles/nonempty_batch=532.5 checksum_cycles/pkt=30.1 tx_cycles/nonempty_batch=158.3 tx_cycles/pkt=8.9 other_cycles/nonempty_batch=234.6 other_cycles/pkt=13.2 cpu_ghz=2.100
[profile] queue_id=0 lcore=0 rx_pkts=14876080 tx_pkts=14876080 tx_drops=0 poll_count=15600229 empty_poll_count=14759470 nonempty_poll_count=840759 work_batches=840759 rx_mpps=14.876 tx_mpps=14.876 avg_burst=17.69 pkts_per_nonempty_poll=17.69 empty_poll_ratio=0.9461 total_cycles/poll=119.4 total_cycles/nonempty_batch=2215.3 total_cycles/pkt=125.2 empty_poll_cycles/nonempty_batch=790.0 empty_poll_cycles/empty_poll=45.0 empty_poll_cycles/pkt=44.6 nonempty_poll_cycles/nonempty_batch=1425.3 nonempty_poll_cycles/nonempty_poll=1425.3 nonempty_poll_cycles/pkt=80.6 rx_cycles/nonempty_batch=607.8 rx_cycles/pkt=34.4 parse_cycles/nonempty_batch=29.6 parse_cycles/pkt=1.7 rewrite_cycles/nonempty_batch=182.4 rewrite_cycles/pkt=10.3 checksum_cycles/nonempty_batch=531.7 checksum_cycles/pkt=30.1 tx_cycles/nonempty_batch=158.3 tx_cycles/pkt=8.9 other_cycles/nonempty_batch=705.4 other_cycles/pkt=39.9 cpu_ghz=2.100
